SLA (m)  	SSH (m)  	lat (degrees_north)  	
0.0842000001	34.6457000001	-42.91567	
0.0583	34.6271	-42.870305	
0.0424	34.6081	-42.824924	
0.0254999999	34.6001999999	-42.779528	
0.0243	34.6361	-42.734118	
0.0413	34.6856	-42.688692	
-0.0079999999	34.6180000001	-42.643252	
-0.0197	34.558	-42.597797	
-0.0308999999	34.5195000001	-42.552327	
-0.04	34.515	-42.506842	
-0.017	34.5483	-42.461343	
-0.0526000001	34.5222999999	-42.415829	
-0.0896999998	34.4784000002	-42.370301	
-0.0796	34.4746	-42.324758	
-0.1144	34.4329	-42.2792	
-0.0485	34.4946	-42.233628	
-0.0719000001	34.4651999999	-42.188042	
-0.0871	34.4409	-42.142441	
-0.0943000001	34.4210999999	-42.096826	
-0.0943999998	34.3934000002	-42.051197	
-0.0933	34.3561	-42.005553	
-0.0592999999	34.3430000001	-41.959895	
-0.0544	34.2939	-41.914223	
-0.0896999998	34.2084000002	-41.868537	
-0.0678000001	34.1759999999	-41.822837	
-0.078	34.1084	-41.777122	
-0.0295999999	34.1005000001	-41.731394	
-0.0801000001	33.9928999999	-41.685652	
-0.0444000001	33.9736999999	-41.639896	
-0.0432000001	33.9192999999	-41.594126	
-0.0493	33.862	-41.548342	
0.0134000001	33.8856000001	-41.502544	
-0.0127	33.8353	-41.456733	
0.0118000002	33.8540000002	-41.410907	
-0.0068999999	33.8413000001	-41.365069	
0.0070000001	33.8659000001	-41.319216	
-0.0368999999	33.8388000001	-41.27335	
0.0534	33.9575	-41.22747	
0.0352	33.9719	-41.181577	
0.0916000002	34.0680000002	-41.13567	
-0.0022999999	34.0144000001	-41.08975	
0.0418999998	34.0946999998	-41.043817	
0.0194999999	34.1001999999	-40.99787	
0.0646999999	34.1592999999	-40.95191	
0.0435	34.1419	-40.905936	
0.0822	34.1858	-40.859949	
0.0990000001	34.2208000001	-40.813949	
0.1362000002	34.2794000002	-40.767936	
0.0725999999	34.2313999999	-40.72191	
0.1004000001	34.2669000001	-40.67587	
0.1086000001	34.2716000001	-40.629818	
0.1253	34.2772	-40.583752	
0.1338000002	34.2686000002	-40.537674	
0.141	34.2516	-40.491582	
0.1015000001	34.1784000001	-40.445478	
0.2033	34.2391	-40.399361	
0.2099	34.2007	-40.353231	
0.1430000001	34.0742000001	-40.307088	
0.1138	33.9633	-40.260932	
0.1324000001	33.8889000001	-40.214764	
0.1322000001	33.7811000001	-40.168583	
0.0753000001	33.6292000001	-40.122389	
0.0404	33.5229	-40.076183	
0.0114999999	33.4509999999	-40.029964	
-0.0338999999	33.3864000001	-39.983732	
-0.1297999999	33.2968000001	-39.937488	
-0.1465	33.2951	-39.891232	
-0.1723000001	33.2731999999	-39.844963	
-0.3104	33.1259	-39.798681	
-0.3022999999	33.1139000001	-39.752388	
-0.3355999999	33.0572000001	-39.706082	
-0.3618999999	33.0113000001	-39.659763	
-0.3863999999	32.9735000001	-39.613433	
-0.4415999999	32.9116000001	-39.56709	
-0.4476	32.9046	-39.520735	
-0.5052	32.8392	-39.474368	
-0.4513999999	32.8775000001	-39.427988	
-0.5195999999	32.7958000001	-39.381597	
-0.4647999999	32.8289000001	-39.335193	
-0.4494000001	32.8305999999	-39.288778	
-0.4371	32.8416	-39.24235	
-0.4474999999	32.8394000001	-39.195911	
-0.4833000002	32.8177999998	-39.149459	
-0.431	32.873	-39.102996	
-0.3965999999	32.8851000001	-39.056521	
-0.3651000001	32.8837999999	-39.010034	
-0.3904000001	32.8294999999	-38.963535	
-0.3326	32.867	-38.917025	
-0.3042	32.8827	-38.870503	
-0.3294000001	32.8474999999	-38.823969	
-0.3289	32.8314	-38.777423	
-0.3604999999	32.7814000001	-38.730866	
-0.3166	32.8131	-38.684297	
-0.2996	32.8275	-38.637717	
-0.3212000001	32.8093999999	-38.591125	
-0.3165	32.8109	-38.544522	
-0.3453	32.7717	-38.497907	
-0.3559000001	32.7408999999	-38.451281	
-0.3558000001	32.7142999999	-38.404643	
-0.4140000002	32.6229999998	-38.357995	
-0.4454999998	32.5562000002	-38.311334	
-0.4426	32.5163	-38.264663	
-0.4612	32.4483	-38.21798	
-0.4881999999	32.3572000001	-38.171286	
-0.5055	32.2656	-38.124581	
-0.5928	32.0964	-38.077864	
-0.5860999999	32.0435000001	-38.031137	
-0.6079000001	31.9835999999	-37.984398	
-0.5978000002	31.9708999998	-37.937648	
-0.7066000001	31.8368999999	-37.890887	
-0.6665	31.8405	-37.844115	
-0.6124	31.8447	-37.797333	
-0.6892999999	31.7191000001	-37.750539	
-0.6897999999	31.6774000001	-37.703734	
-0.6794	31.647	-37.656919	
-0.6879	31.5953	-37.610092	
-0.6274999999	31.6126000001	-37.563255	
-0.6423000002	31.5509999998	-37.516407	
-0.6176999999	31.5241000001	-37.469548	
-0.6195	31.4686	-37.422679	
-0.6244	31.4144	-37.375798	
-0.6251000002	31.3695999998	-37.328908	
-0.5644	31.3851	-37.282006	
-0.5578	31.3361	-37.235094	
-0.5427	31.279	-37.188171	
-0.5186	31.2327	-37.141238	
-0.5271999999	31.1761000001	-37.094294	
-0.4735	31.2254	-37.047339	
-0.3657000001	31.3294999999	-37.000375	
-0.2083999999	31.4611000001	-36.953399	
-0.1804	31.4844	-36.906414	
-0.1624	31.5316	-36.859418	
-0.0571999999	31.6773000001	-36.812411	
-0.0183999999	31.7492000001	-36.765394	
0.0707	31.8703	-36.718367	
0.1006000001	31.9421000001	-36.67133	
0.0929999999	31.9805999999	-36.624282	
0.1623	32.0904	-36.577225	
0.1743000002	32.1232000002	-36.530157	
0.1733000002	32.1165000002	-36.483079	
0.2093000002	32.1337000002	-36.43599	
0.1966	32.09	-36.388892	
0.2225000001	32.0748000001	-36.341784	
0.2133000001	32.0276000001	-36.294665	
0.1813	31.9591	-36.247537	
0.1794999999	31.9099999999	-36.200399	
0.2139000001	31.8997000001	-36.15325	
0.1983999999	31.8350999999	-36.106092	
0.2002999999	31.7803999999	-36.058924	
0.1805000001	31.7161000001	-36.011746	
0.1702	31.6709	-35.964558	
0.1875000001	31.6598000001	-35.91736	
0.2284000001	31.6804000001	-35.870152	
0.2036999999	31.6472999999	-35.822935	
0.2146999999	31.6542999999	-35.775708	
0.1777000001	31.6137000001	-35.728471	
0.1842999999	31.6169999999	-35.681225	
0.2017	31.6286	-35.633969	
0.1658999998	31.5768999998	-35.586703	
0.1710000001	31.5487000001	-35.539428	
0.2060999999	31.5432999999	-35.492143	
0.1527999999	31.4509999999	-35.444848	
0.1228	31.3922	-35.397544	
0.1691999998	31.4103999998	-35.350231	
0.1440999998	31.3528999998	-35.302908	
0.1285999999	31.3057999999	-35.255576	
0.1243	31.2716	-35.208234	
0.1228	31.2653	-35.160883	
0.1585	31.3311	-35.113522	
0.1537999999	31.3762999999	-35.066152	
0.0691999998	31.3343999998	-35.018773	
0.1468	31.4234	-34.971385	
0.0529000001	31.3228000001	-34.923987	
0.0295	31.304	-34.87658	
0.0485000002	31.3281000002	-34.829164	
0.0595	31.3412	-34.781738	
0.1190999999	31.4068999999	-34.734304	
0.0936999999	31.3895999999	-34.68686	
0.0589000001	31.3611000001	-34.639407	
0.0231999999	31.3246999999	-34.591946	
0.0301	31.3272	-34.544475	
0.0897999998	31.3634999998	-34.496995	
0.0628999999	31.2860999999	-34.449506	
0.0876999999	31.2473999999	-34.402008	
0.0971000001	31.1970000001	-34.354501	
0.0983999999	31.1389999999	-34.306985	
0.1083000001	31.0997000001	-34.25946	
0.1909999998	31.1419999998	-34.211927	
0.1775000001	31.0890000001	-34.164384	
0.2524000001	31.1242000001	-34.116833	
0.2237	31.0511	-34.069273	
0.2317000001	31.0109000001	-34.021704	
0.2293	30.9593	-33.974126	
0.2817000001	30.9787000001	-33.92654	
0.2423000001	30.9330000001	-33.878945	
0.2720000001	30.9928000001	-33.831341	
0.2414	31.0326	-33.783728	
0.2358999999	31.1226999999	-33.736107	
0.1658999999	31.1579999999	-33.688477	
0.1957000002	31.2852000002	-33.640839	
0.2205	31.3861	-33.593192	
0.1467000001	31.3628000001	-33.545537	
0.1314000001	31.3716000001	-33.497873	
0.1468000001	31.3826000001	-33.4502	
0.1569	31.3517	-33.402519	
0.1709999999	31.2820999999	-33.35483	
0.1863999999	31.1883999999	-33.307132	
0.1487	31.0483	-33.259426	
0.2027000001	31.0222000001	-33.211711	
0.2210999998	30.9486999998	-33.163988	
0.2295999999	30.8129999999	-33.116257	
0.2452000001	30.6383000001	-33.068517	
0.1547	30.3479	-33.020769	
0.1590999999	30.1834999999	-32.973013	
0.1806	30.0789	-32.925248	
0.1548999999	29.9331999999	-32.877476	
0.1654	29.8255	-32.829695	
0.1582000002	29.7277000002	-32.781906	
0.1410000001	29.6201000001	-32.734109	
0.2021	29.5333	-32.686303	
0.1398	29.2888	-32.63849	
0.1819	29.1546	-32.590668	
0.1473	28.917	-32.542839	
0.1255999999	28.6522999999	-32.495001	
0.1497	28.4264	-32.447155	
0.1366999998	28.1915999998	-32.399302	
0.0802000002	27.9589000002	-32.35144	
0.1043000001	27.8036000001	-32.30357	
0.0996000001	27.5991000001	-32.255693	
0.0810000001	27.3691000001	-32.207807	
0.0719999999	27.1263999999	-32.159914	
0.0511000002	26.8544000002	-32.112013	
0.0546	26.6062	-32.064104	
0.0385999999	26.3664999999	-32.016187	
0.0264	26.1884	-31.968262	
0.0192999999	26.0646999999	-31.92033	
0.0089000001	25.9483000001	-31.872389	
-0.0166000001	25.8000999999	-31.824441	
-0.0402	25.6358	-31.776486	
-0.0204	25.4847	-31.728522	
-0.0215000001	25.2876999999	-31.680551	
-0.0264	25.0826	-31.632572	
-0.0400000002	24.8816999998	-31.584586	
-0.0458	24.6999	-31.536592	
-0.0289	24.5427	-31.488591	
-0.0122999999	24.3615000001	-31.440581	
-0.0459999999	24.0948000001	-31.392565	
0.0131000001	23.8862000001	-31.344541	
0.0029	23.5995	-31.296509	
-0.0286	23.3155	-31.24847	
-0.0240999998	23.1276000002	-31.200423	
-0.0559	22.9725	-31.152369	
-0.0519000002	22.9036999998	-31.104307	
-0.0726	22.8167	-31.056238	
-0.0762	22.7093	-31.008162	
-0.0573	22.5728	-30.960078	
-0.0535000002	22.3631999998	-30.911987	
-0.0988	22.079	-30.863889	
-0.0947	21.8662	-30.815783	
-0.0592999998	21.7418000002	-30.76767	
-0.1265999999	21.5700000001	-30.71955	
-0.1103999998	21.4977000002	-30.671423	
-0.1257	21.3803	-30.623288	
-0.0784999999	21.3098000001	-30.575146	
-0.0688999999	21.1681000001	-30.526997	
-0.1254000001	20.9379999999	-30.478841	
-0.107	20.7496	-30.430677	
-0.0730000001	20.5507999999	-30.382507	
-0.0801	20.2874	-30.334329	
-0.0775	20.0221	-30.286145	
-0.0379	19.8028	-30.237953	
-0.0759999999	19.5056000001	-30.189754	
-0.0157	19.2866	-30.141548	
-0.0743999998	18.9206000002	-30.093335	
-0.0775000002	18.6286999998	-30.045115	
-0.0663000001	18.3811999999	-29.996889	
-0.0927000001	18.1200999999	-29.948655	
-0.0941	17.9197	-29.900414	
-0.1698	17.6757	-29.852167	
-0.1006000001	17.5548999999	-29.803912	
-0.1521	17.2387	-29.755651	
-0.1723000001	16.9131999999	-29.707382	
-0.1787	16.61	-29.659107	
-0.1728000001	16.3359999999	-29.610826	
-0.1976	16.0559	-29.562537	
-0.1898999998	15.8269000002	-29.514242	
-0.1973999998	15.5919000002	-29.465939	
-0.1953	15.3802	-29.41763	
-0.1706999999	15.2016000001	-29.369315	
-0.2541	14.9258	-29.320992	
-0.2153000001	14.7812999999	-29.272663	
-0.1763	14.6442	-29.224328	
-0.1849999999	14.4707000001	-29.175985	
-0.135	14.3651	-29.127636	
-0.1544000001	14.2034999999	-29.079281	
-0.1230000001	14.0998999999	-29.030918	
-0.1439999999	13.9473000001	-28.98255	
-0.1286	13.8263	-28.934174	
-0.0819	13.7239	-28.885792	
0.0045	13.6576	-28.837404	
-0.0193999998	13.4958000002	-28.789009	
-0.0198999998	13.3747000002	-28.740608	
0.0200000001	13.3026000001	-28.6922	
0.0198	13.1886	-28.643786	
0.0203000002	13.0697000002	-28.595365	
0.0364	12.9514	-28.546938	
0.0163999999	12.8072999999	-28.498504	
-0.0176999998	12.6601000002	-28.450064	
0.0704999998	12.6488999998	-28.401618	
0.0049	12.4984	-28.353165	
0.0416999999	12.4586999999	-28.304706	
0.0358	12.3737	-28.256241	
-0.0284000002	12.2216999998	-28.20777	
0.1011999999	12.2529999999	-28.159292	
0.0088999999	12.0612999999	-28.110808	
0.015	11.9617	-28.062318	
0.0425999998	11.8852999998	-28.013821	
0.0633000002	11.7991000002	-27.965318	
0.0517	11.672	-27.916809	
0.0402	11.5342	-27.868294	
0.0109	11.3647	-27.819773	
0.0509	11.2577	-27.771246	
0.0371000001	11.0835000001	-27.722712	
-0.0047	10.8682	-27.674173	
0.0264	10.7194	-27.625627	
0.0192999998	10.5294999998	-27.577075	
0.0194000001	10.3515000001	-27.528518	
-0.0156	10.1444	-27.479954	
-0.0451	9.9471	-27.431384	
-0.0347	9.7947	-27.382808	
-0.1111	9.5601	-27.334226	
-0.0212	9.5067	-27.285639	
-0.0482000002	9.3511999998	-27.237045	
-0.0702999999	9.2188000001	-27.188445	
-0.0934	9.0948	-27.13984	
-0.1012	8.9777	-27.091228	
-0.0686999999	8.8565000001	-27.042611	
-0.0843000001	8.6428999999	-26.993988	
-0.1343999999	8.3948000001	-26.945359	
-0.0822	8.2716	-26.896724	
-0.1348999999	8.0547000001	-26.848083	
-0.0829	7.9518	-26.799437	
-0.1161	7.7824	-26.750785	
-0.0874	7.6947	-26.702127	
-0.1359000001	7.5437999999	-26.653463	
-0.1085999999	7.4806000001	-26.604793	
-0.1064999999	7.4048000001	-26.556118	
-0.1333000002	7.3189999998	-26.507437	
-0.0812	7.3383	-26.458751	
-0.0051000001	7.4042999999	-26.410058	
-0.0569000001	7.3456999999	-26.36136	
-0.0222	7.3672	-26.312657	
0.0012	7.3751	-26.263948	
-0.0432999999	7.3210000001	-26.215233	
-0.0137999998	7.3491000002	-26.166513	
-0.0822000001	7.2754999999	-26.117787	
-0.0611	7.2719	-26.069055	
-0.0785	7.2248	-26.020318	
-0.0916	7.1911	-25.971575	
-0.0646	7.1896	-25.922827	
-0.0725	7.1324	-25.874074	
-0.1171	7.0281	-25.825315	
-0.1380000001	6.9398999999	-25.77655	
-0.1881999999	6.8200000001	-25.72778	
-0.1572999998	6.7790000002	-25.679005	
-0.1952	6.6683	-25.630224	
-0.1881999999	6.6024000001	-25.581438	
-0.1871000001	6.5244999999	-25.532646	
-0.148	6.4738	-25.483849	
-0.2120999999	6.3067000001	-25.435047	
-0.1602000001	6.2727999999	-25.386239	
-0.1238000001	6.2340999999	-25.337426	
-0.1776999998	6.1024000002	-25.288608	
-0.1539999999	6.0330000001	-25.239784	
-0.1309	5.9542	-25.190955	
-0.0951000001	5.8927999999	-25.142121	
-0.0852	5.8153	-25.093282	
-0.0347	5.7931	-25.044437	
-0.0806000001	5.6758999999	-24.995587	
-0.0004000001	5.6674999999	-24.946732	
0.0135	5.5726	-24.897872	
-0.0131000001	5.4368999999	-24.849007	
0.0609999998	5.4135999998	-24.800136	
0.0625	5.3346	-24.75126	
0.1098999999	5.3054999999	-24.702379	
0.0910999999	5.2077999999	-24.653493	
0.1661999999	5.2116999999	-24.604602	
0.1369	5.1231	-24.555706	
0.1740999999	5.1058999999	-24.506805	
0.1392000002	5.0147000002	-24.457899	
0.1972	5.0087	-24.408987	
0.1425	4.8765	-24.360071	
0.2052	4.8472	-24.31115	
0.2386000001	4.7830000001	-24.262223	
0.184	4.6279	-24.213292	
0.1685000001	4.5021000001	-24.164355	
0.1709999999	4.3903999999	-24.115414	
0.2103	4.3054	-24.066468	
0.1971	4.154	-24.017517	
0.1788	3.9936	-23.968561	
0.1644999999	3.8398999999	-23.9196	
0.1525	3.6829	-23.870634	
0.1275000001	3.5160000001	-23.821663	
0.1156000001	3.3623000001	-23.772688	
0.0976999999	3.2024999999	-23.723707	
0.0843999999	3.0442999999	-23.674722	
0.1120000001	2.9288000001	-23.625732	
0.1039	2.7788	-23.576737	
0.0918000001	2.6238000001	-23.527737	
0.1071999999	2.5052999999	-23.478733	
0.1192000001	2.3912000001	-23.429724	
0.0291	2.1783	-23.38071	
0.0509	2.0824	-23.331691	
0.0785000001	2.0002000001	-23.282668	
0.0981999999	1.9010999999	-23.23364	
0.1367	1.8221	-23.184607	
0.1538	1.724	-23.13557	
0.1193999999	1.5734999999	-23.086528	
0.0995000001	1.4402000001	-23.037481	
0.1552	1.3892	-22.98843	
0.1401000002	1.2711000002	-22.939374	
0.1002999999	1.1293999999	-22.890313	
0.1079000001	1.0432000001	-22.841248	
0.1061	0.9541	-22.792178	
0.0359999999	0.8100999999	-22.743104	
0.1107	0.8243	-22.694025	
0.073	0.7414	-22.644942	
0.0950999999	0.7490999999	-22.595854	
0.2561000001	0.9502000001	-22.546761	
-0.0953	0.7456	-22.497664	
-4.7739000002	-3.6864000002	-22.448563	
DV	DV	-22.399457	
DV	DV	-22.350347	
0.1369	1.0258	-22.301232	
0.2191	0.5708	-22.252113	
0.0925	0.0124	-22.202989	
-0.2727000001	-0.6891000001	-22.153861	
-0.8976999999	-1.6026999999	-22.104729	
0.2099	-0.7413	-22.055592	
-0.3543000002	-1.5251000002	-22.006451	
DV	DV	-21.957305	
-0.0487000002	-1.6217000002	-21.908155	
-0.0231	-1.7932	-21.859001	
-0.119	-2.0841	-21.809843	
-0.0825999999	-2.2382999999	-21.76068	
-0.0583	-2.4099	-21.711513	
-0.1167	-2.6673	-21.662342	
-0.0874999999	-2.8419999999	-21.613166	
-0.1048000001	-3.0613000001	-21.563986	
-0.1466	-3.3059	-21.514802	
-0.1057	-3.4609	-21.465614	
-0.1756	-3.7116	-21.416421	
-0.2000999999	-3.9022999999	-21.367225	
-0.2182000001	-4.0793000001	-21.318024	
-0.1776000001	-4.1949000001	-21.268819	
-0.1685999998	-4.3416999998	-21.219609	
-0.174	-4.4992	-21.170396	
-0.1158	-4.5883	-21.121179	
-0.1605	-4.7816	-21.071957	
-0.1465000001	-4.9123000001	-21.022731	
-0.1665	-5.0722	-20.973501	
-0.1856	-5.2267	-20.924268	
-0.1674999999	-5.3380999999	-20.87503	
-0.1291000001	-5.4287000001	-20.825788	
-0.1050000001	-5.5432000001	-20.776542	
-0.1009	-5.6859	-20.727292	
-0.0691	-5.8039	-20.678038	
-0.1582	-6.0364	-20.628779	
-0.1175	-6.1445	-20.579517	
0.0468000001	-6.1315999999	-20.530251	
-1.3268	-7.6578	-20.480981	
0.0046999999	-6.4758000001	-20.431707	
-0.1213	-6.7604	-20.382429	
-0.1364000001	-6.9429000001	-20.333148	
-0.0927000001	-7.0696000001	-20.283862	
-0.0748999999	-7.2329999999	-20.234572	
-0.1240000001	-7.4697000001	-20.185278	
-0.0947	-7.6229	-20.135981	
-0.1233	-7.8345	-20.08668	
-0.1107	-7.9952	-20.037374	
-0.1844	-8.238	-19.988065	
-0.1179	-8.3434	-19.938753	
-0.1500000002	-8.5540000002	-19.889436	
-0.1048	-8.681	-19.840115	
-0.0484999999	-8.7902999999	-19.790791	
-0.1626000002	-9.0560000002	-19.741463	
-0.0871999999	-9.0908999999	-19.692131	
-0.077	-9.1375	-19.642796	
-0.0578	-9.1416	-19.593456	
-0.1452999998	-9.2500999998	-19.544113	
0.0334999999	-9.1141000001	-19.494766	
-0.0251	-9.2449	-19.445416	
-0.0388000002	-9.3711000002	-19.396062	
0.1398000002	-9.3413999998	-19.346704	
0.0578	-9.5932	-19.297342	
0.0935000002	-9.7207999998	-19.247977	
0.11	-9.8393	-19.198608	
0.1171000001	-9.9192999999	-19.149235	
0.0826999999	-9.9964000001	-19.099859	
0.0036000001	-10.0988999999	-19.050479	
0.0572999999	-10.0214000001	-19.001096	
0.3524999999	-9.6946000001	-18.951709	
0.2231999999	-9.9029000001	-18.902318	
-0.2517999999	-10.4746999999	-18.852924	
0.1746	-10.0897	-18.803527	
0.1783	-10.1098	-18.754125	
0.2561	-10.0888	-18.70472	
0.2128000001	-10.2464999999	-18.655312	
0.2854000001	-10.3410999999	-18.6059	
0.2505	-10.5659	-18.556485	
0.3393999999	-10.6478000001	-18.507066	
0.2593000001	-10.8717999999	-18.457644	
0.2815000001	-10.9692999999	-18.408218	
0.3407	-11.0108	-18.358789	
0.2849	-11.1453	-18.309356	
0.243	-11.2494	-18.25992	
0.1507	-11.3852	-18.21048	
0.209	-11.357	-18.161038	
0.1442000001	-11.4425999999	-18.111591	
0.1701	-11.4467	-18.062142	
0.3419	-11.3155	-18.012688	
0.3398000001	-11.3780999999	-17.963232	
0.2221	-11.576	-17.913772	
-0.3671	-12.2773	-17.864309	
0.0926999998	-11.9601000002	-17.814842	
0.0520000001	-12.1627999999	-17.765373	
-0.0177	-12.4095	-17.7159	
0.0353	-12.5514	-17.666423	
-0.0072	-12.8032	-17.616943	
-0.0555999999	-13.0663999999	-17.567461	
-0.0833	-13.3014	-17.517974	
0.1008	-13.3122	-17.468485	
-1.1941000001	-14.7866000001	-17.418992	
-0.1342000001	-13.8987000001	-17.369496	
-0.0458000002	-13.9562000002	-17.319997	
-0.1220000001	-14.1559000001	-17.270495	
-0.1585000001	-14.3047000001	-17.220989	
-0.0912999999	-14.3287999999	-17.17148	
-0.1587	-14.454	-17.121968	
-0.0704	-14.3868	-17.072453	
-0.0054999998	-14.3113999998	-17.022935	
-0.0324999999	-14.3899999999	-16.973414	
-0.046	-14.6215	-16.923889	
-0.0116999999	-14.9406999999	-16.874361	
0.0234000001	-15.2864999999	-16.824831	
-0.0672999999	-15.7247999999	-16.775297	
-0.0762999998	-16.0584999998	-16.72576	
-0.0082000001	-16.2939000001	-16.67622	
-0.0013	-16.5657	-16.626677	
0.0407000001	-16.7856999999	-16.577131	
0.0688999999	-16.9995000001	-16.527581	
0.0975	-17.1906	-16.478029	
0.0706	-17.4446	-16.428474	
0.0755000002	-17.7023999998	-16.378916	
-0.0157000001	-18.0807000001	-16.329355	
0.0341000001	-18.3029999999	-16.27979	
0.0220999998	-18.5830000002	-16.230223	
0.0012	-18.8714	-16.180653	
0.0491999999	-19.0973000001	-16.13108	
0.0567000001	-19.3513999999	-16.081504	
0.0272000001	-19.6196999999	-16.031925	
0.0478999998	-19.8194000002	-15.982343	
0.0854	-19.9753	-15.932758	
0.1215999999	-20.1128000001	-15.88317	
0.0624	-20.3291	-15.833579	
0.0613999998	-20.4785000002	-15.783986	
0.0353	-20.6556	-15.734389	
0.018	-20.8366	-15.68479	
-0.0150999999	-21.0407999999	-15.635188	
0.0372999999	-21.1580000001	-15.585583	
-0.0441999998	-21.3978999998	-15.535975	
0.0094	-21.4791	-15.486365	
0.0046999999	-21.6011000001	-15.436751	
-0.0024000001	-21.7202000001	-15.387135	
-0.0259999999	-21.8463999999	-15.337516	
0.0242	-21.8844	-15.287894	
-0.0209999999	-22.0090999999	-15.23827	
0.0604999999	-22.0004000001	-15.188642	
0.0132999999	-22.1186000001	-15.139012	
0.0954999999	-22.1167000001	-15.089379	
0.0887999998	-22.2094000002	-15.039744	
0.0894999999	-22.2973000001	-14.990106	
0.0388999999	-22.4350000001	-14.940465	
0.0639	-22.4863	-14.890821	
0.0352999999	-22.5854000001	-14.841174	
0.0901	-22.6013	-14.791525	
0.0520999998	-22.7130000002	-14.741874	
0.1136999998	-22.7220000002	-14.69222	
0.1102	-22.8029	-14.642563	
0.1261999999	-22.8757000001	-14.592903	
0.1667	-22.932	-14.543241	
0.1505999999	-23.0480000001	-14.493576	
0.1934999999	-23.1155000001	-14.443908	
0.2839	-23.1427	-14.394238	
0.2119999999	-23.3466000001	-14.344566	
0.253	-23.449	-14.29489	
0.2331	-23.6152	-14.245213	
0.2333	-23.7623	-14.195532	
0.2451999999	-23.8923000001	-14.145849	
0.3038000001	-23.9720999999	-14.096164	
0.2864	-24.1261	-14.046476	
0.3021	-24.2424	-13.996786	
0.2608999999	-24.4084000001	-13.947093	
0.2700999999	-24.5187000001	-13.897397	
0.2706999999	-24.6244000001	-13.847699	
0.2383	-24.7581	-13.797999	
0.2847999999	-24.8193000001	-13.748296	
0.2869	-24.9278	-13.698591	
0.2825	-25.0425	-13.648883	
0.2791000001	-25.1491999999	-13.599173	
0.2717999999	-25.2449000001	-13.54946	
0.2613999999	-25.3283000001	-13.499745	
0.2367	-25.4179	-13.450028	
0.2387	-25.4669	-13.400308	
0.2609999998	-25.4836000002	-13.350586	
0.1843	-25.5875	-13.300861	
0.184	-25.5949	-13.251134	
0.1941000001	-25.5695999999	-13.201405	
0.1884	-25.5356	-13.151673	
0.18	-25.4831	-13.10194	
0.1999999998	-25.4024000002	-13.052203	
0.1989	-25.3324	-13.002465	
0.1758000001	-25.2795999999	-12.952724	
0.1629999999	-25.1973000001	-12.902981	
0.1541000001	-25.0894999999	-12.853235	
0.161	-24.9529	-12.803487	
0.1242999999	-24.8369000001	-12.753737	
0.1707000001	-24.6049999999	-12.703985	
0.1371000002	-24.4080999998	-12.65423	
0.1496999999	-24.1063000001	-12.604474	
0.1436	-23.7734	-12.554715	
0.1309999999	-23.3687000001	-12.504953	
0.1846	-22.8141	-12.45519	
0.1998	-22.2064	-12.405424	
0.1044	-21.5822	-12.355657	
DV	DV	-12.305887	
DV	DV	-12.256114	
-17.0921000001	-37.8614000001	-12.20634	
-4.9202999999	-25.9395999999	-12.156564	
DV	DV	-12.106785	
0.0108	-22.2655	-12.057004	
0.1286	-23.0668	-12.007222	
0.1297	-23.8577	-11.957436	
0.1787	-24.4571	-11.907649	
0.1416	-25.0216	-11.85786	
0.1743000001	-25.4092999999	-11.808069	
0.1945000001	-25.7367999999	-11.758276	
0.1769	-26.0472	-11.70848	
0.2299	-26.2509	-11.658683	
0.2078000001	-26.5014999999	-11.608883	
0.1956000001	-26.7164999999	-11.559082	
0.2150000001	-26.8794999999	-11.509278	
0.2353000001	-27.0302999999	-11.459473	
0.1791999999	-27.2498000001	-11.409665	
0.2213	-27.3691	-11.359856	
0.2169000001	-27.5211999999	-11.310044	
0.1854000001	-27.6820999999	-11.260231	
0.198	-27.7794	-11.210415	
0.1828	-27.9056	-11.160598	
0.2317000001	-27.9850999999	-11.110778	
0.2286999999	-28.1299000001	-11.060957	
0.2219	-28.2929	-11.011134	
0.2443000001	-28.4283999999	-10.961308	
0.2308	-28.5975	-10.911481	
0.2886999998	-28.6862000002	-10.861652	
0.2127000001	-28.9002999999	-10.811821	
0.1784999999	-29.0767000001	-10.761989	
0.1629000001	-29.2442999999	-10.712154	
0.1923	-29.3732	-10.662317	
0.146	-29.5839	-10.612479	
0.1321	-29.7604	-10.562639	
0.2278000001	-29.8231999999	-10.512797	
0.2276999999	-29.9827000001	-10.462953	
0.2432	-30.1212	-10.413107	
0.2233000001	-30.2945999999	-10.363259	
0.2496999998	-30.4131000002	-10.31341	
0.2286999999	-30.5727000001	-10.263559	
0.1683	-30.7704	-10.213706	
0.2320000001	-30.8344999999	-10.163851	
0.2247	-30.9604	-10.113995	
0.2113999999	-31.0898000001	-10.064137	
0.1567999998	-31.2610000002	-10.014277	
0.1065999999	-31.4303000001	-9.964415	
0.1968000001	-31.4722999999	-9.914551	
0.2190999999	-31.5934000001	-9.864686	
0.21	-31.761	-9.814819	
0.2082999999	-31.9207000001	-9.764951	
0.1994000001	-32.0849999999	-9.715081	
0.1896999999	-32.2401000001	-9.665209	
0.1864000001	-32.3983999999	-9.615335	
0.0902999999	-32.6498000001	-9.56546	
0.1033000001	-32.7955999999	-9.515583	
0.0734	-32.9836	-9.465704	
0.0836999999	-33.1211000001	-9.415824	
0.065	-33.2955	-9.365942	
0.1074000001	-33.4168999999	-9.316059	
0.0515000002	-33.6558999998	-9.266174	
